model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,226.64,60.05,995,1545,0,3801,792,255,2048,xbox-series-s-t4,2026-07-21T18:00:47Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,199.22,46.00,1231,1563,0,3801,1380,129,2048,xbox-series-s-t4,2026-07-21T18:01:29Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,233.55,57.95,998,1536,0,3801,792,255,2048,xbox-series-s-t6,2026-07-21T18:02:08Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,215.58,45.93,1232,1542,0,3801,1380,129,2048,xbox-series-s-t6,2026-07-21T18:02:49Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,74.21,14.39,996,1615,0,3801,792,255,2048,xbox-series-s-t8,2026-07-21T18:04:09Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,86.96,9.89,1231,1614,0,3801,1380,129,2048,xbox-series-s-t8,2026-07-21T18:05:20Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,214.90,46.44,1232,1548,0,3801,1380,129,2048,xbox-series-s-t6,2026-07-21T18:06:50Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,199.87,49.39,1231,1509,0,3801,1380,129,2048,xbox-series-s-t4,2026-07-21T18:07:41Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,217.11,47.06,1232,1549,0,3801,1380,129,2048,xbox-series-s-t6,2026-07-21T18:08:31Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,198.13,46.42,1231,1551,0,3801,1380,129,2048,xbox-series-s-t4,2026-07-21T18:09:22Z
