model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,host,date
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,259.27,77.84,657,1596,0,3801,172,,xbox-series-s,2026-07-21T06:42:22Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,253.14,73.88,723,1570,0,3801,320,,xbox-series-s,2026-07-21T06:43:48Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,233.09,62.28,813,1572,0,3801,557,,xbox-series-s,2026-07-21T06:44:33Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,220.64,55.02,951,1564,0,3801,791,,xbox-series-s,2026-07-21T06:46:27Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,208.89,48.75,1063,1546,0,3801,1098,,xbox-series-s,2026-07-21T06:47:20Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,210.38,48.17,1062,1563,0,3801,1098,,xbox-series-s,2026-07-21T07:00:51Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,202.91,46.43,1163,1529,0,3801,1289,,xbox-series-s,2026-07-21T07:02:56Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,195.88,42.15,1303,1571,0,3801,1574,,xbox-series-s,2026-07-21T06:49:49Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,146.31,45.17,1248,2722,793,3801,172,,xbox-series-s,2026-07-21T06:51:04Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,267.85,45.36,1231,2807,793,3801,320,,xbox-series-s,2026-07-21T06:52:23Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,362.10,43.31,1318,2788,793,3801,557,,xbox-series-s,2026-07-21T06:53:49Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,446.78,40.97,1649,2793,793,3801,791,,xbox-series-s,2026-07-21T06:55:58Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,288.71,36.49,1906,2787,793,3801,1098,,xbox-series-s,2026-07-21T06:56:43Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,288.94,36.37,1904,2815,793,3801,1098,,xbox-series-s,2026-07-21T07:04:29Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,119.01,34.44,1963,2769,793,3801,1289,,xbox-series-s,2026-07-21T07:05:50Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,129.56,34.48,1969,2786,793,3801,1289,,xbox-series-s,2026-07-21T07:09:21Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,207.53,33.38,2869,2757,793,3801,1384,,xbox-series-s,2026-07-21T07:10:33Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,227.49,34.05,2867,2772,793,3801,1480,,xbox-series-s,2026-07-21T07:12:39Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,636.49,33.98,2869,2758,793,3801,1574,,xbox-series-s,2026-07-21T06:58:23Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,635.52,33.92,2869,2790,793,3801,1574,,xbox-series-s,2026-07-21T07:14:44Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,680.89,34.48,2859,2732,793,3801,1671,,xbox-series-s,2026-07-21T07:16:50Z
