model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,611.84,31.87,1972,2831,793,3801,1289,127,2048,xbox-series-s,2026-07-21T13:30:15Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,118.50,32.50,1955,2799,793,3801,1289,127,1801,xbox-series-s,2026-07-21T13:31:04Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,205.64,48.29,1210,1555,0,3801,1289,127,1545,xbox-series-s,2026-07-21T13:32:16Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,202.94,48.47,1161,1554,0,3801,1289,127,1801,xbox-series-s,2026-07-21T13:33:06Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,205.84,48.19,1201,1564,0,3801,1289,127,2048,xbox-series-s,2026-07-21T13:33:56Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,248.60,75.21,813,1529,0,3801,320,98,2048,xbox-series-s,2026-07-21T13:34:52Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,244.50,32.26,1423,2764,793,3801,320,127,2048,xbox-series-s,2026-07-21T13:35:25Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,229.15,66.34,915,1520,0,3801,557,127,2048,xbox-series-s,2026-07-21T13:35:53Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,340.21,31.91,1522,2837,793,3801,557,127,2048,xbox-series-s,2026-07-21T13:36:26Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,215.56,57.95,1010,1531,0,3801,791,114,2048,xbox-series-s,2026-07-21T13:36:54Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,451.62,31.79,1970,2788,793,3801,791,127,2048,xbox-series-s,2026-07-21T13:37:26Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,208.44,47.89,1125,1550,0,3801,1098,9,2048,xbox-series-s,2026-07-21T13:37:54Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,557.57,31.86,1969,2782,793,3801,1098,127,2048,xbox-series-s,2026-07-21T13:38:26Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,208.72,45.48,1125,1561,0,3801,1098,9,2048,xbox-series-s,2026-07-21T13:39:35Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,209.15,53.65,1128,1524,0,3801,1096,255,2048,xbox-series-s,2026-07-21T13:40:35Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,223.04,58.96,995,1538,0,3801,792,255,2048,xbox-series-s,2026-07-21T13:41:49Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,451.19,33.86,1970,2759,793,3801,792,255,2048,xbox-series-s,2026-07-21T13:42:32Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,210.65,51.26,1124,1556,0,3801,1096,255,2048,xbox-series-s,2026-07-21T13:43:22Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,551.32,33.80,1970,2805,793,3801,1096,255,2048,xbox-series-s,2026-07-21T13:44:14Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,198.89,46.86,1231,1556,0,3801,1380,129,2048,xbox-series-s,2026-07-21T13:45:03Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,597.90,33.60,2868,2786,793,3801,1380,255,2048,xbox-series-s,2026-07-21T13:45:55Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,194.50,43.16,1302,1539,0,3801,1571,255,2048,xbox-series-s,2026-07-21T13:46:47Z
smollm2-360m-dml-fp16-v2,fp16,ort-genai-dml,2048,8,640.88,33.69,2869,2777,793,3801,1571,255,2048,xbox-series-s,2026-07-21T13:47:35Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,197.69,48.99,1231,1499,0,3801,1380,121,2048,xbox-series-s,2026-07-21T13:49:38Z
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,203.29,46.73,1185,1529,0,3801,1241,255,2048,xbox-series-s,2026-07-21T13:50:30Z
