model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date,run_index
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,242.34,84.23,631,1627,0,3801,39,231,551,xbox-series-s,2026-07-25T09:11:54Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,236.68,84.71,631,1591,0,3801,39,231,551,xbox-series-s,2026-07-25T09:12:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,242.54,84.65,631,1611,0,3801,39,231,551,xbox-series-s,2026-07-25T09:12:24Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,237.44,77.78,631,1590,0,3801,39,231,551,xbox-series-s-t4,2026-07-25T09:12:55Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,237.56,79.70,631,1603,0,3801,39,231,551,xbox-series-s-t4,2026-07-25T09:13:10Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,237.01,84.33,631,1648,0,3801,39,231,551,xbox-series-s-t4,2026-07-25T09:13:24Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,251.65,81.16,631,1613,0,3801,39,231,551,xbox-series-s-t6,2026-07-25T09:13:55Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,251.62,80.44,631,1614,0,3801,39,231,551,xbox-series-s-t6,2026-07-25T09:14:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,249.90,80.58,631,1640,0,3801,39,231,551,xbox-series-s-t6,2026-07-25T09:14:24Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,244.75,75.26,706,1645,0,3801,285,114,797,xbox-series-s,2026-07-25T09:14:54Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,244.61,71.90,707,1615,0,3801,285,114,797,xbox-series-s,2026-07-25T09:15:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,244.93,75.64,707,1609,0,3801,285,114,797,xbox-series-s,2026-07-25T09:15:23Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,247.55,74.47,707,1673,0,3801,285,114,797,xbox-series-s-t4,2026-07-25T09:15:53Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,245.75,76.11,707,1636,0,3801,285,114,797,xbox-series-s-t4,2026-07-25T09:16:08Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,247.48,75.97,706,1620,0,3801,285,114,797,xbox-series-s-t4,2026-07-25T09:16:23Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,254.21,72.91,708,1585,0,3801,285,114,797,xbox-series-s-t6,2026-07-25T09:16:54Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,253.89,71.89,707,1662,0,3801,285,114,797,xbox-series-s-t6,2026-07-25T09:17:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,260.74,73.13,708,1616,0,3801,285,114,797,xbox-series-s-t6,2026-07-25T09:17:23Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,220.63,51.63,993,1630,0,3801,960,13,1472,xbox-series-s,2026-07-25T09:17:55Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,221.77,51.69,993,1593,0,3801,960,13,1472,xbox-series-s,2026-07-25T09:18:10Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,221.77,51.98,993,1587,0,3801,960,13,1472,xbox-series-s,2026-07-25T09:18:25Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,221.10,52.57,993,1628,0,3801,960,13,1472,xbox-series-s-t4,2026-07-25T09:18:55Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,221.50,51.51,993,1622,0,3801,960,13,1472,xbox-series-s-t4,2026-07-25T09:19:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,4,221.73,51.56,993,1618,0,3801,960,13,1472,xbox-series-s-t4,2026-07-25T09:19:24Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,234.31,50.99,996,1613,0,3801,960,13,1472,xbox-series-s-t6,2026-07-25T09:19:54Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,235.58,51.30,996,1660,0,3801,960,13,1472,xbox-series-s-t6,2026-07-25T09:20:09Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,6,234.41,51.29,996,1616,0,3801,960,13,1472,xbox-series-s-t6,2026-07-25T09:20:24Z,4
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,243.09,71.70,706,1625,0,3801,285,114,797,xbox-series-s,2026-07-25T09:20:52Z,2
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,244.78,72.35,707,1651,0,3801,285,114,797,xbox-series-s,2026-07-25T09:21:07Z,3
smollm2-360m-cpu-int4,int4,ort-genai-cpu,2048,8,247.73,72.06,707,1576,0,3801,285,114,797,xbox-series-s,2026-07-25T09:21:22Z,4
