model,quant,backend,n_ctx,n_threads,prompt_tok_s,decode_tok_s,peak_ws_mb,load_ms,gpu_mem_mb,gpu_budget_mb,n_prompt_tok,n_gen_tok,max_length,host,date,run_index
lfm25-350m,Q4_K_M,cpu,2048,6,416.78,83.77,305,2715,0,0,1000,67,0,xbox-series-s-u128,2026-07-26T01:25:40Z,2
lfm25-350m,Q4_K_M,cpu,2048,6,419.08,86.09,305,2720,0,0,1000,40,0,xbox-series-s-u128,2026-07-26T01:25:56Z,3
lfm25-350m,Q4_K_M,cpu,2048,6,419.40,89.68,305,2698,0,0,1000,6,0,xbox-series-s-u128,2026-07-26T01:26:11Z,4
lfm25-350m,Q4_K_M,cpu,2048,6,426.82,87.89,313,2667,0,0,1000,32,0,xbox-series-s-u256,2026-07-26T01:26:43Z,2
lfm25-350m,Q4_K_M,cpu,2048,6,426.67,86.44,313,2652,0,0,1000,39,0,xbox-series-s-u256,2026-07-26T01:26:58Z,3
lfm25-350m,Q4_K_M,cpu,2048,6,426.42,88.49,313,2657,0,0,1000,30,0,xbox-series-s-u256,2026-07-26T01:27:12Z,4
lfm25-350m,Q4_K_M,cpu,2048,6,429.56,85.97,330,2652,0,0,1000,44,0,xbox-series-s-u512,2026-07-26T01:27:42Z,2
lfm25-350m,Q4_K_M,cpu,2048,6,429.77,86.76,330,2643,0,0,1000,38,0,xbox-series-s-u512,2026-07-26T01:27:57Z,3
lfm25-350m,Q4_K_M,cpu,2048,6,429.36,90.99,330,2640,0,0,1000,15,0,xbox-series-s-u512,2026-07-26T01:28:11Z,4
lfm25-350m,Q4_K_M,cpu,2048,6,416.54,83.99,364,2718,0,0,1000,62,0,xbox-series-s-u1024,2026-07-26T01:28:43Z,2
lfm25-350m,Q4_K_M,cpu,2048,6,417.61,84.71,364,2712,0,0,1000,56,0,xbox-series-s-u1024,2026-07-26T01:28:58Z,3
lfm25-350m,Q4_K_M,cpu,2048,6,422.16,85.71,364,2688,0,0,1000,46,0,xbox-series-s-u1024,2026-07-26T01:29:14Z,4
