committed_mb,working_set_mb,avail_phys_mb,gpu_budget_mb,gpu_current_mb,ok,host,date
128,156,4985,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
256,285,4857,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
384,413,4729,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
512,541,4601,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
640,669,4473,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
768,797,4344,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
896,925,4216,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1024,1053,4087,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1152,1181,3959,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1280,1309,3832,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1408,1437,3703,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1536,1565,3574,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1664,1693,3447,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1792,1821,3318,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
1920,1949,3191,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2048,2077,3062,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2176,2205,2933,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2304,2333,2805,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2432,2461,2678,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2560,2589,2549,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2688,2717,2421,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2816,2845,2292,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
2944,2973,2165,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3072,3101,2036,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3200,3229,1908,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3328,3357,1779,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3456,3485,1651,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3584,3613,1523,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3712,3741,1395,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3840,3869,1267,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
3968,3997,1139,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4096,4125,1010,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4224,4253,882,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4352,4381,753,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4480,4509,625,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4608,4637,497,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4736,4765,368,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
4864,4893,240,3801,0,1,xbox-series-s,2026-07-29T10:40:31Z
